"Series","N","Mean (%)","Median (%)","SD (%)","Min (%)","Max (%)","Skewness","Excess kurtosis","JB p-value","AR(1)","Ann. mean (%)","Ann. SD (%)","Sharpe (vs cash)"
"AustralianSuper: Australian shares",122,0.816,1.135,3.549,-18.8,9.11,-1.472,6.517,0,-0.089,10.25,12.3,0.651
"AustralianSuper: International shares",122,0.996,1.391,2.9,-6.4,6.34,-0.392,-0.513,0.1075,0.019,12.63,10.05,1.015
"AustralianSuper: Fixed income",122,0.182,0.219,0.552,-1.8,1.31,-0.867,1.603,0,0.135,2.2,1.91,0.21
"ART: Australian shares",122,0.748,1.12,3.602,-18.38,9.01,-1.373,5.522,0,-0.074,9.36,12.48,0.577
"ART: International shares",122,1.031,1.478,3.007,-8.8,7.27,-0.431,-0.14,0.1443,0,13.1,10.42,1.021
"ART: Fixed income",122,0.157,0.198,1.026,-2.47,2.71,-0.123,0.158,0.8059,0.053,1.9,3.55,0.03
"Gold, CRSP ETF (AUD)",122,1.004,0.617,4.225,-9.87,14.57,0.352,0.582,0.1197,-0.16,12.73,14.64,0.703
"Gold, ASX ETF (AUD)",122,0.977,0.52,4.083,-10,10.49,0.225,0.102,0.5821,-0.053,12.38,14.14,0.706
"Bitcoin (AUD)",122,7.083,4.792,21.332,-38.42,70.95,0.535,0.37,0.0385,0.143,127.32,73.9,1.126
